Range,Goodput
1448000,0.997
1449000,0.992
1450000,0.994
1451000,0.996
1452000,0.995
1453000,0.993
1454000,0.998
1455000,0.992
1456000,0.997
1457000,0.996
1458000,0.986
1459000,0.991
1460000,0.989
1461000,0.993
1462000,0.995
1463000,0.996
1464000,0.996
1465000,0.993
1466000,0.994
1467000,0.995
1468000,0.995
1469000,0.992
1470000,0.995
1471000,0.995
1472000,0.991
1473000,0.998
1474000,0.992
1475000,0.997
1476000,0.992
1477000,0.996
1478000,0.999
1479000,0.993
1480000,0.988
1481000,0.994
1482000,0.995
1483000,0.996
1484000,0.995
1485000,0.994
1486000,0.997
1487000,0.991
1488000,0.991
1489000,0.996
1490000,0.99
1491000,0.993
1492000,0.989
1493000,0.994
1494000,0.994
1495000,0.992
1496000,0.994
1497000,0.992
1498000,0.994
1499000,0.998
1500000,0.997
1501000,0.995
1502000,0.996
1503000,0.992
1504000,0.989
1505000,0.995
1506000,0.994
1507000,0.993
1508000,0.994
1509000,0.996
1510000,0.993
1511000,0.995
1512000,0.994
1513000,0.996
1514000,0.989
1515000,0.996
1516000,0.993
1517000,0.996
1518000,0.991
1519000,0.992
1520000,0.993
1521000,0.999
1522000,0.993
1523000,0.994
1524000,0.991
1525000,0.994
1526000,0.994
1527000,0.993
1528000,0.995
1529000,0.991
1530000,0.993
1531000,0.995
1532000,0.993
1533000,0.996
1534000,0.997
1535000,0.995
1536000,0.996
1537000,0.995
1538000,0.997
1539000,0.994
1540000,0.994
1541000,0.99
1542000,0.994
1543000,0.996
1544000,0.995
1545000,0.994
1546000,0.992
1547000,0.994
1548000,0.992
1549000,0.993
1550000,0.997
1551000,0.991
1552000,0.989
1553000,0.992
1554000,0.994
1555000,0.995
1556000,0.993
1557000,0.994
1558000,0.991
1559000,0.994
1560000,0.994
1561000,0.993
1562000,0.994
1563000,0.995
1564000,0.993
1565000,0.991
1566000,0.995
1567000,0.996
1568000,0.996
1569000,0.994
1570000,0.994
1571000,0.994
1572000,0.994
1573000,0.995
1574000,0.991
1575000,0.994
1576000,0.99
1577000,0.994
1578000,0.994
1579000,0.997
1580000,0.996
1581000,0.996
1582000,0.992
1583000,0.988
1584000,0.995
1585000,0.991
1586000,0.994
1587000,0.99
1588000,0.996
1589000,0.989
1590000,0.995
1591000,0.996
1592000,0.993
1593000,0.994
1594000,0.998
1595000,0.992
1596000,0.992
1597000,0.993
1598000,0.996
1599000,0.994
1600000,0.994
1601000,0.995
1602000,0.996
1603000,0.996
1604000,0.998
1605000,0.997
1606000,0.996
1607000,0.991
1608000,0.996
1609000,0.996
1610000,0.997
1611000,0.998
1612000,0.989
1613000,0.994
1614000,0.988
1615000,0.992
1616000,0.993
1617000,0.994
1618000,0.995
1619000,0.995
1620000,0.988
1621000,0.995
1622000,0.994
1623000,0.993
1624000,0.994
1625000,0.992
1626000,0.991
1627000,0.997
1628000,0.991
1629000,0.993
1630000,0.993
1631000,0.994
1632000,0.996
1633000,0.993
1634000,0.995
1635000,0.99
1636000,0.994
1637000,0.995
1638000,0.992
1639000,0.995
1640000,0.993
1641000,0.99
1642000,0.994
1643000,0.996
1644000,0.996
1645000,0.992
1646000,0.992
1647000,0.995
1648000,0.993
1649000,0.989
1650000,0.996
1651000,0.991
1652000,0.991
1653000,0.995
1654000,0.993
1655000,0.994
1656000,0.997
1657000,0.994
1658000,0.993
1659000,0.997
1660000,0.997
1661000,0.994
1662000,0.993
1663000,0.997
1664000,0.997
1665000,0.992
1666000,0.996
1667000,0.99
1668000,0.994
1669000,0.999
1670000,0.995
1671000,0.996
1672000,0.994
1673000,0.992
1674000,0.995
1675000,0.993
1676000,0.992
1677000,0.995
1678000,0.994
1679000,0.993
1680000,0.994
1681000,0.995
1682000,0.995
1683000,0.991
1684000,0.994
1685000,0.992
1686000,0.994
1687000,0.995
1688000,0.996
1689000,0.991
1690000,0.994
1691000,0.992
1692000,0.995
1693000,0.994
1694000,0.99
1695000,0.997
1696000,0.996
1697000,0.995
1698000,0.996
1699000,0.998
1700000,0.997
1701000,0.994
1702000,0.993
1703000,0.994
1704000,0.99
1705000,0.992
1706000,0.996
1707000,0.993
1708000,0.996
1709000,0.992
1710000,0.995
1711000,0.992
1712000,0.993
1713000,0.994
1714000,0.993
1715000,0.996
1716000,0.996
1717000,0.996
1718000,0.99
1719000,0.998
1720000,0.995
1721000,0.994
1722000,0.991
1723000,0.995
1724000,0.994
1725000,0.994
1726000,0.989
1727000,0.997
1728000,0.992
1729000,0.993
1730000,0.994
1731000,0.995
1732000,0.996
1733000,0.992
1734000,0.996
1735000,0.992
1736000,0.994
1737000,0.995
1738000,0.992
1739000,0.994
1740000,0.994
1741000,0.997
1742000,0.995
1743000,0.991
1744000,0.992
1745000,0.995
1746000,0.991
1747000,0.991
1748000,0.992
1749000,0.995
1750000,0.997
1751000,0.986
1752000,0.995
1753000,0.994
1754000,0.993
1755000,0.995
1756000,0.989
1757000,0.993
1758000,0.994
1759000,0.996
1760000,0.995
1761000,0.996
1762000,0.992
1763000,0.992
1764000,0.992
1765000,0.994
1766000,0.997
1767000,0.995
1768000,0.993
1769000,0.993
1770000,0.991
1771000,0.995
1772000,0.993
1773000,0.988
1774000,0.995
1775000,0.995
1776000,0.997
1777000,0.993
1778000,0.993
1779000,0.995
1780000,0.993
1781000,0.995
1782000,0.994
1783000,0.993
1784000,0.996
1785000,0.997
1786000,0.996
1787000,0.997
1788000,0.994
1789000,0.994
1790000,0.996
1791000,0.995
1792000,0.996
1793000,0.994
1794000,0.991
1795000,0.996
1796000,0.994
1797000,0.993
1798000,0.997
1799000,0.996
1800000,0.992
1801000,0.99
1802000,0.995
1803000,0.993
1804000,0.993
1805000,0.993
1806000,0.99
1807000,0.996
1808000,0.993
1809000,0.996
1810000,0.99
1811000,0.996
1812000,0.994
1813000,0.994
1814000,0.991
1815000,0.996
1816000,0.995
1817000,0.991
1818000,0.995
1819000,0.992
1820000,0.995
1821000,0.991
1822000,0.994
1823000,0.995
1824000,0.996
1825000,0.989
1826000,0.999
1827000,0.997
1828000,0.994
1829000,0.989
1830000,0.993
1831000,0.995
1832000,0.993
1833000,0.994
1834000,0.991
1835000,0.994
1836000,0.995
1837000,0.995
1838000,0.996
1839000,0.993
1840000,0.993
1841000,0.994
1842000,0.993
1843000,0.997
1844000,0.997
1845000,0.995
1846000,0.994
1847000,0.994
1848000,0.992
1849000,0.994
1850000,0.995
1851000,0.994
1852000,0.996
1853000,0.989
1854000,0.991
1855000,0.996
1856000,0.993
1857000,0.99
1858000,0.993
1859000,0.996
1860000,0.989
1861000,0.992
1862000,0.997
1863000,0.991
1864000,0.993
1865000,0.998
1866000,0.992
1867000,0.993
1868000,0.991
1869000,0.998
